date,primary_type,count
2024-07-01,ASSAULT,1
2024-07-01,BATTERY,2
2024-07-01,CRIMINAL DAMAGE,1
2024-07-01,CRIMINAL TRESPASS,1
2024-07-01,HOMICIDE,1
2024-07-02,ASSAULT,1
2024-07-02,BATTERY,5
2024-07-02,CRIMINAL DAMAGE,2
2024-07-02,DECEPTIVE PRACTICE,2
2024-07-02,NARCOTICS,1
2024-07-02,ROBBERY,3
2024-07-02,THEFT,3
2024-07-02,WEAPONS VIOLATION,1
2024-07-03,BATTERY,5
2024-07-03,CRIMINAL DAMAGE,2
2024-07-03,INTERFERENCE WITH PUBLIC OFFICER,1
2024-07-03,ROBBERY,2
2024-07-03,THEFT,3
2024-07-03,WEAPONS VIOLATION,1
2024-07-04,BATTERY,2
2024-07-04,CRIMINAL DAMAGE,2
2024-07-04,NARCOTICS,1
2024-07-04,ROBBERY,3
2024-07-04,THEFT,1
2024-07-05,BATTERY,4
2024-07-05,CRIMINAL DAMAGE,2
2024-07-05,NARCOTICS,1
2024-07-05,OTHER OFFENSE,2
2024-07-05,PUBLIC PEACE VIOLATION,1
2024-07-05,ROBBERY,1
2024-07-06,BATTERY,2
2024-07-06,CRIMINAL DAMAGE,2
2024-07-06,DECEPTIVE PRACTICE,2
2024-07-06,NARCOTICS,1
2024-07-06,OTHER OFFENSE,1
2024-07-06,ROBBERY,3
2024-07-06,THEFT,3
2024-07-07,ASSAULT,2
2024-07-07,BATTERY,6
2024-07-07,CRIMINAL DAMAGE,2
2024-07-07,CRIMINAL SEXUAL ASSAULT,1
2024-07-07,DECEPTIVE PRACTICE,1
2024-07-07,INTERFERENCE WITH PUBLIC OFFICER,1
2024-07-07,NARCOTICS,2
2024-07-07,OTHER OFFENSE,1
2024-07-07,ROBBERY,1
2024-07-07,THEFT,2
2024-07-08,ASSAULT,3
2024-07-08,BATTERY,2
2024-07-08,CRIMINAL DAMAGE,1
2024-07-08,NARCOTICS,1
2024-07-08,ROBBERY,3
2024-07-08,SEX OFFENSE,1
2024-07-08,THEFT,2
2024-07-09,BATTERY,2
2024-07-09,CRIMINAL DAMAGE,2
2024-07-09,NARCOTICS,1
2024-07-09,THEFT,4
2024-07-10,BATTERY,4
2024-07-10,DECEPTIVE PRACTICE,1
2024-07-10,INTERFERENCE WITH PUBLIC OFFICER,1
2024-07-10,NARCOTICS,1
2024-07-10,OTHER OFFENSE,1
2024-07-10,ROBBERY,2
2024-07-10,THEFT,1
2024-07-11,ASSAULT,1
2024-07-11,BATTERY,3
2024-07-11,CRIMINAL DAMAGE,1
2024-07-11,DECEPTIVE PRACTICE,1
2024-07-11,ROBBERY,3
2024-07-11,THEFT,4
2024-07-12,ASSAULT,2
2024-07-12,BATTERY,5
2024-07-12,CRIMINAL DAMAGE,1
2024-07-12,NARCOTICS,1
2024-07-12,ROBBERY,5
2024-07-12,THEFT,1
2024-07-13,ASSAULT,2
2024-07-13,BATTERY,4
2024-07-13,CRIMINAL DAMAGE,1
2024-07-13,DECEPTIVE PRACTICE,1
2024-07-13,ROBBERY,3
2024-07-13,THEFT,1
2024-07-13,WEAPONS VIOLATION,1
2024-07-14,ASSAULT,1
2024-07-14,BATTERY,2
2024-07-14,CRIMINAL DAMAGE,2
2024-07-14,NARCOTICS,1
2024-07-14,ROBBERY,4
2024-07-14,THEFT,2
2024-07-15,ASSAULT,2
2024-07-15,BATTERY,1
2024-07-15,CRIMINAL DAMAGE,1
2024-07-15,DECEPTIVE PRACTICE,1
2024-07-15,NARCOTICS,3
2024-07-15,ROBBERY,2
2024-07-15,SEX OFFENSE,1
2024-07-15,THEFT,1
2024-07-16,BATTERY,2
2024-07-16,INTERFERENCE WITH PUBLIC OFFICER,1
2024-07-16,ROBBERY,2
2024-07-16,THEFT,1
2024-07-17,ASSAULT,4
2024-07-17,BATTERY,3
2024-07-17,CRIMINAL DAMAGE,4
2024-07-17,DECEPTIVE PRACTICE,1
2024-07-17,INTERFERENCE WITH PUBLIC OFFICER,1
2024-07-17,ROBBERY,4
2024-07-17,THEFT,3
2024-07-17,WEAPONS VIOLATION,1
2024-07-18,BATTERY,3
2024-07-18,CRIMINAL DAMAGE,1
2024-07-18,NARCOTICS,1
2024-07-18,ROBBERY,2
2024-07-18,THEFT,2
2024-07-18,WEAPONS VIOLATION,1
2024-07-19,BATTERY,11
2024-07-19,CRIMINAL DAMAGE,1
2024-07-19,INTERFERENCE WITH PUBLIC OFFICER,1
2024-07-19,NARCOTICS,1
2024-07-19,ROBBERY,4
2024-07-19,WEAPONS VIOLATION,1
2024-07-20,ASSAULT,3
2024-07-20,BATTERY,4
2024-07-20,CRIMINAL DAMAGE,3
2024-07-20,ROBBERY,4
2024-07-20,THEFT,2
2024-07-21,BATTERY,3
2024-07-21,CRIMINAL DAMAGE,2
2024-07-21,CRIMINAL SEXUAL ASSAULT,1
2024-07-21,DECEPTIVE PRACTICE,2
2024-07-21,THEFT,2
2024-07-22,ASSAULT,1
2024-07-22,BATTERY,4
2024-07-22,CRIMINAL DAMAGE,2
2024-07-22,DECEPTIVE PRACTICE,1
2024-07-22,ROBBERY,1
2024-07-22,THEFT,4
2024-07-22,WEAPONS VIOLATION,1
2024-07-23,ASSAULT,3
