Date,safety_index
2023-07-20,57.0
2023-07-21,62.0
2023-07-22,70.0
2023-07-23,66.0
2023-07-24,66.0
2023-07-25,61.0
2023-07-26,85.0
2023-07-27,76.0
2023-07-28,69.0
2023-07-29,59.0
2023-07-30,60.0
2023-07-31,70.0
2023-08-01,57.0
2023-08-02,71.0
2023-08-03,75.0
2023-08-04,78.0
2023-08-05,66.0
2023-08-06,70.0
2023-08-07,84.0
2023-08-08,61.0
2023-08-09,49.0
2023-08-10,83.0
2023-08-11,63.0
2023-08-12,70.0
2023-08-13,67.0
2023-08-14,76.0
2023-08-15,63.0
2023-08-16,32.0
2023-08-17,63.0
2023-08-18,70.0
2023-08-19,64.0
2023-08-20,73.0
2023-08-21,68.0
2023-08-22,48.0
2023-08-23,70.0
2023-08-24,57.0
2023-08-25,85.0
2023-08-26,67.0
2023-08-27,44.0
2023-08-28,64.0
2023-08-29,28.0
2023-08-30,67.0
2023-08-31,66.0
2023-09-01,67.0
2023-09-02,63.0
2023-09-03,58.0
2023-09-04,63.0
2023-09-05,49.0
2023-09-06,52.0
2023-09-07,47.0
2023-09-08,38.0
2023-09-09,75.0
2023-09-10,79.0
2023-09-11,75.0
2023-09-12,56.0
2023-09-13,56.0
2023-09-14,44.0
2023-09-15,60.0
2023-09-16,66.0
2023-09-17,80.0
2023-09-18,55.0
2023-09-19,47.0
2023-09-20,44.0
2023-09-21,66.0
2023-09-22,47.0
2023-09-23,73.0
2023-09-24,38.0
2023-09-25,12.0
2023-09-26,37.0
2023-09-27,48.0
2023-09-28,48.0
2023-09-29,56.0
2023-09-30,57.0
2023-10-01,59.0
2023-10-02,54.0
2023-10-03,50.0
2023-10-04,50.0
2023-10-05,60.0
2023-10-06,66.0
2023-10-07,83.0
2023-10-08,87.0
2023-10-09,69.0
2023-10-10,35.0
2023-10-11,56.0
2023-10-12,54.0
2023-10-13,38.0
2023-10-14,47.0
2023-10-15,73.0
2023-10-16,63.0
2023-10-17,76.0
2023-10-18,60.0
2023-10-19,54.0
2023-10-20,77.0
2023-10-21,64.0
2023-10-22,65.0
2023-10-23,40.0
2023-10-24,57.0
2023-10-25,68.0
2023-10-26,54.0
2023-10-27,73.0
2023-10-28,60.0
2023-10-29,50.0
2023-10-30,57.0
2023-10-31,61.0
2023-11-01,65.0
2023-11-02,36.0
2023-11-03,67.0
2023-11-04,58.0
2023-11-05,61.0
2023-11-06,59.0
2023-11-07,60.0
2023-11-08,74.0
2023-11-09,59.0
2023-11-10,73.0
2023-11-11,69.0
2023-11-12,70.0
2023-11-13,53.0
2023-11-14,34.0
2023-11-15,47.0
2023-11-16,70.0
2023-11-17,57.0
2023-11-18,61.0
2023-11-19,70.0
2023-11-20,31.0
2023-11-21,73.0
2023-11-22,77.0
2023-11-23,76.0
2023-11-24,75.0
2023-11-25,61.0
2023-11-26,50.0
2023-11-27,66.0
2023-11-28,50.0
2023-11-29,63.0
2023-11-30,54.0
2023-12-01,32.0
2023-12-02,66.0
2023-12-03,76.0
2023-12-04,60.0
2023-12-05,62.0
2023-12-06,73.0
2023-12-07,81.0
2023-12-08,65.0
2023-12-09,45.0
2023-12-10,57.0
2023-12-11,82.0
2023-12-12,57.0
2023-12-13,66.0
2023-12-14,79.0
2023-12-15,82.0
2023-12-16,53.0
2023-12-17,77.0
2023-12-18,73.0
2023-12-19,72.0
2023-12-20,79.0
2023-12-21,80.0
